1B,1M,1A,10B,10M,10A,11B,11M,11A,13B,13M,13A,18B,18M,18A,19B,19M,19A,20B,20M,20A,PCI,Classe
0.025,0.014,0.000,0.102,0.534,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.690,0.000,0.381,Muito Ruim
0.000,0.293,0.000,0.195,0.485,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.690,0.000,0.073,Péssimo
0.000,0.229,0.000,0.017,0.113,0.507,0.000,0.013,0.000,0.000,0.000,0.000,0.006,0.005,0.010,0.000,0.000,0.000,0.107,0.646,0.000,0.067,Péssimo
0.014,0.052,0.000,0.093,0.930,0.603,0.000,0.000,0.000,0.008,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.851,0.112,0.136,Péssimo
0.002,0.184,0.000,0.046,0.924,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,0.000,0.327,Muito Ruim
0.002,0.146,0.000,0.083,0.769,0.412,0.000,0.006,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.714,0.000,0.136,Péssimo
0.007,0.093,0.306,0.003,0.048,0.040,0.066,0.006,0.009,0.100,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.798,0.000,0.109,Péssimo
0.000,0.850,0.089,0.003,0.058,0.047,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.827,0.000,0.027,Péssimo
0.003,0.000,0.421,0.000,0.138,0.000,0.000,0.000,0.126,0.100,0.284,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.868,0.000,0.032,Péssimo
0.000,0.086,0.024,0.090,0.966,0.115,0.000,0.000,0.011,0.000,0.100,0.000,0.000,0.002,0.003,0.000,0.000,0.000,0.000,0.912,0.000,0.089,Péssimo
0.000,0.086,0.350,0.031,0.261,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.008,0.000,0.000,0.000,0.910,0.039,Péssimo
0.000,0.010,0.000,0.021,0.725,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.005,0.000,0.000,0.000,0.818,0.533,Ruim
0.000,0.141,0.000,0.000,0.421,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.000,0.417,Ruim
