1B,1M,1A,10B,10M,10A,11B,11M,11A,13B,13M,13A,18B,18M,18A,19B,19M,19A,20B,20M,20A,PCI,Classe
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.826,0.000,0.000,1.000,Excelente
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.820,0.000,0.000,0.979,Excelente
0.033,0.006,0.044,0.017,0.070,0.012,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.844,0.035,0.330,Muito Ruim
0.023,0.000,0.000,0.015,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.711,0.182,0.000,0.794,Satisfatório
0.035,0.000,0.000,0.033,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.919,0.000,0.000,0.774,Satisfatório
0.006,0.005,0.000,0.108,0.140,0.107,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.272,0.508,0.093,0.471,Ruim
0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.705,0.189,0.000,0.915,Excelente
0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.889,0.036,0.000,0.520,Ruim
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.821,0.106,0.000,0.974,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.897,0.027,0.002,0.979,Excelente
0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.894,0.012,0.976,Excelente
0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.891,0.014,0.000,0.995,Excelente
0.000,0.011,0.004,0.010,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.720,0.196,0.000,0.619,Regular
0.000,0.003,0.000,0.070,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.141,0.042,0.802,Satisfatório
0.001,0.046,0.008,0.030,0.045,0.169,0.000,0.021,0.026,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.159,0.444,0.100,0.116,Péssimo
0.002,0.137,0.152,0.000,0.000,0.000,0.000,0.027,0.013,0.800,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.553,0.032,Péssimo
0.000,0.052,0.099,0.000,0.077,0.191,0.038,0.008,0.003,0.200,0.100,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.602,0.061,Péssimo
0.009,0.062,0.000,0.113,0.337,0.096,0.000,0.015,0.020,0.400,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.496,0.036,0.085,Péssimo
0.001,0.139,0.000,0.018,0.393,0.084,0.000,0.054,0.018,0.100,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.027,0.000,0.569,0.000,0.105,Péssimo
0.010,0.053,0.138,0.005,0.053,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.689,0.000,0.065,0.170,Péssimo
0.000,0.000,0.206,0.000,0.006,0.023,0.006,0.019,0.022,0.300,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.605,0.000,0.067,0.149,Péssimo
0.002,0.020,0.096,0.049,0.090,0.022,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.701,0.000,0.022,0.256,Muito Ruim
0.037,0.013,0.026,0.057,0.148,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.738,0.000,0.235,Péssimo
0.007,0.071,0.084,0.033,0.027,0.023,0.000,0.009,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.585,0.000,0.128,0.171,Péssimo
0.003,0.126,0.039,0.000,0.019,0.106,0.004,0.031,0.000,0.300,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.718,0.000,0.161,Péssimo
0.299,0.000,0.000,0.017,0.137,0.000,0.013,0.015,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.514,0.211,0.381,Muito Ruim
0.001,0.050,0.021,0.011,0.008,0.062,0.000,0.037,0.000,0.200,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.713,0.001,0.134,Péssimo
0.000,0.075,0.000,0.047,0.011,0.017,0.000,0.000,0.000,0.200,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.703,0.050,0.429,Ruim
0.000,0.152,0.000,0.000,0.095,0.041,0.000,0.021,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.743,0.000,0.374,Muito Ruim
0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.621,0.026,0.000,0.951,Excelente
0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.000,0.000,1.000,Excelente
0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.000,0.000,1.000,Excelente
0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.001,0.000,0.905,Excelente
0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.641,0.006,0.000,0.999,Excelente
0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.631,0.016,0.000,0.977,Excelente
0.006,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.000,0.000,0.897,Excelente
0.000,0.000,0.000,0.076,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.634,0.013,0.000,0.950,Excelente
0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.613,0.035,0.000,0.978,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.319,0.328,0.000,0.916,Excelente
0.003,0.000,0.000,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.334,0.069,0.000,0.876,Excelente
0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.202,0.000,0.833,Satisfatório
0.000,0.000,0.000,0.245,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.123,0.000,0.836,Satisfatório
0.000,0.000,0.003,0.037,0.064,0.375,0.000,0.000,0.000,0.100,0.200,0.100,0.000,0.000,0.000,0.000,0.000,0.099,0.018,0.000,0.500,0.039,Péssimo
0.001,0.000,0.000,0.027,0.347,0.443,0.000,0.000,0.025,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.541,0.051,0.157,Péssimo
0.000,0.007,0.000,0.021,0.126,0.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.238,0.000,0.357,0.254,Muito Ruim
0.000,0.000,0.000,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.926,Excelente
0.000,0.000,0.000,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.869,Excelente
0.000,0.000,0.009,0.034,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.631,0.000,0.000,0.626,Regular
0.000,0.000,0.000,0.306,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.863,Excelente
0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.979,Excelente
0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.951,Excelente
0.000,0.000,0.000,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.963,Excelente
0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.635,0.000,0.000,0.887,Excelente
