1B,1M,1A,10B,10M,10A,11B,11M,11A,13B,13M,13A,18B,18M,18A,19B,19M,19A,20B,20M,20A,VDM,Classe
0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.673,0.000,0.000,1430,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.886,0.000,0.000,1430,Excelente
0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.889,0.018,0.000,1430,Excelente
0.000,0.000,0.000,0.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.993,0.002,0.000,1430,Satisfatorio
0.000,0.000,0.000,0.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.904,0.000,0.000,1430,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.601,0.024,0.000,1430,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.625,0.000,0.000,1430,Excelente
0.000,0.000,0.000,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.717,0.000,0.000,1430,Excelente
0.000,0.000,0.000,0.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.717,0.000,0.000,1430,Excelente
0.000,0.000,0.000,0.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.614,0.000,0.000,1430,Excelente
0.000,0.000,0.000,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.681,0.000,0.000,1430,Excelente
0.025,0.014,0.000,0.102,0.534,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.690,0.000,1330,Muito Ruim
0.000,0.293,0.000,0.195,0.485,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.690,0.000,1330,Pessimo
0.000,0.229,0.000,0.017,0.113,0.507,0.000,0.013,0.000,0.000,0.000,0.000,0.006,0.005,0.010,0.000,0.000,0.000,0.107,0.646,0.000,1330,Pessimo
0.014,0.052,0.000,0.093,0.930,0.603,0.000,0.000,0.000,0.008,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.851,0.112,1330,Pessimo
0.002,0.184,0.000,0.046,0.924,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,0.000,1330,Muito Ruim
0.002,0.146,0.000,0.083,0.769,0.412,0.000,0.006,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.714,0.000,1330,Pessimo
0.007,0.093,0.306,0.003,0.048,0.040,0.066,0.006,0.009,0.100,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.798,0.000,2600,Pessimo
0.000,0.850,0.089,0.003,0.058,0.047,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.827,0.000,2600,Pessimo
0.003,0.000,0.421,0.000,0.138,0.000,0.000,0.000,0.126,0.100,0.284,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.868,0.000,2600,Pessimo
0.000,0.086,0.024,0.090,0.966,0.115,0.000,0.000,0.011,0.000,0.100,0.000,0.000,0.002,0.003,0.000,0.000,0.000,0.000,0.912,0.000,2600,Pessimo
0.000,0.086,0.350,0.031,0.261,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.008,0.000,0.000,0.000,0.910,2600,Pessimo
0.000,0.010,0.000,0.021,0.725,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.005,0.000,0.000,0.000,0.818,2600,Ruim
0.000,0.141,0.000,0.000,0.421,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.000,2600,Ruim
0.000,0.000,0.258,0.000,0.000,0.814,0.002,0.000,0.000,0.200,0.100,0.100,0.000,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.835,2600,Pessimo
0.000,0.013,0.019,0.000,0.275,0.300,0.000,0.009,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.807,2600,Pessimo
0.000,0.022,0.038,0.009,0.754,0.278,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.835,2600,Pessimo
0.000,0.000,0.000,0.019,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.804,0.000,750,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.480,0.290,0.000,750,Excelente
0.000,0.000,0.000,0.075,0.114,0.131,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.461,0.000,0.000,750,Muito Ruim
0.000,0.000,0.000,0.502,0.178,0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.316,0.000,0.000,0.582,0.000,0.007,750,Regular
0.000,0.000,0.000,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.000,0.000,0.730,0.000,0.003,750,Excelente
0.000,0.000,0.000,0.283,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.225,0.000,0.000,0.682,0.000,0.000,750,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,0.000,0.000,750,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.449,0.000,0.526,750,Regular
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.793,0.165,0.013,750,Excelente
0.000,0.000,0.000,0.208,0.286,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.678,0.000,0.273,750,Regular
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.694,0.095,750,Satisfatorio
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.000,0.010,0.000,0.558,0.088,750,Satisfatorio
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.459,0.004,750,Excelente
0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.870,0.033,750,Ruim
0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.773,0.132,750,Satisfatorio
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.853,0.050,750,Ruim
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,0.031,750,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,0.032,750,Excelente
0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.906,0.069,750,Excelente
0.134,0.000,0.000,0.197,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.938,0.012,750,Regular
0.000,0.000,0.127,0.012,0.097,0.270,0.000,0.000,0.094,0.500,0.400,0.100,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.638,1530,Pessimo
0.000,0.000,0.017,0.000,0.000,0.239,0.000,0.000,0.096,1.000,0.332,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.428,1530,Pessimo
0.000,0.000,0.045,0.095,0.000,0.000,0.000,0.000,0.148,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,1530,Pessimo
0.005,0.092,0.000,0.191,0.066,0.000,0.000,0.000,0.088,0.200,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.431,0.000,1530,Pessimo
0.000,0.029,0.009,0.128,0.000,0.000,0.014,0.150,0.056,0.200,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.262,0.033,1530,Pessimo
0.001,0.267,0.000,0.031,0.064,0.254,0.000,0.005,0.022,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.660,1530,Pessimo
0.006,0.000,0.000,0.011,0.131,0.254,0.000,0.000,0.150,1.000,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.358,1530,Pessimo
0.017,0.009,0.007,0.000,0.076,0.116,0.000,0.018,0.014,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.444,1530,Pessimo
0.020,0.000,0.000,0.271,0.000,0.000,0.000,0.024,0.026,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.419,1530,Muito Ruim
0.009,0.017,0.000,0.000,0.247,0.000,0.001,0.020,0.048,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.056,1530,Pessimo
0.000,0.049,0.000,0.000,0.130,0.000,0.007,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.758,0.000,5090,Ruim
0.003,0.011,0.000,0.087,0.111,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.767,0.000,5090,Regular
0.162,0.000,0.000,0.122,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.842,0.000,0.000,5090,Regular
0.079,0.008,0.020,0.000,0.018,0.000,0.024,0.008,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.451,0.000,0.448,5090,Pessimo
0.017,0.097,0.019,0.009,0.116,0.021,0.000,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.673,0.076,5090,Muito Ruim
0.009,0.096,0.018,0.014,0.205,0.010,0.000,0.000,0.022,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.000,5090,Pessimo
0.004,0.319,0.083,0.039,0.248,0.000,0.000,0.001,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.817,0.000,5090,Pessimo
0.007,0.146,0.004,0.024,0.199,0.152,0.000,0.000,0.063,0.400,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.531,0.308,5090,Pessimo
0.000,0.053,0.037,0.000,0.000,0.255,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.014,0.000,0.508,0.000,0.000,0.000,0.346,0.000,5090,Pessimo
0.000,0.000,0.236,0.000,0.038,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.000,0.000,0.081,0.000,5090,Pessimo
0.000,0.245,0.042,0.025,0.068,0.180,0.047,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.309,0.000,5090,Pessimo
0.000,0.000,0.182,0.000,0.062,0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.000,0.366,0.000,5090,Pessimo
0.000,0.000,0.136,0.000,0.000,0.067,0.000,0.013,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.000,0.000,0.830,0.000,5090,Pessimo
0.000,0.163,0.065,0.166,0.121,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.000,0.380,0.000,5090,Pessimo
0.000,0.000,0.039,0.000,0.000,0.064,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.476,0.000,0.000,0.000,0.422,0.000,5090,Ruim
0.000,0.135,0.000,0.000,0.000,0.122,0.000,0.045,0.003,0.000,0.100,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.634,5090,Pessimo
0.000,0.039,0.000,0.000,0.034,0.485,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.328,0.428,5090,Pessimo
0.000,0.036,0.067,0.000,0.027,0.189,0.000,0.073,0.007,0.000,0.100,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.497,5090,Pessimo
0.000,0.008,0.220,0.000,0.000,0.148,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.000,0.000,0.270,0.000,5090,Pessimo
0.000,0.000,0.182,0.007,0.000,0.000,0.000,0.038,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.566,0.000,5090,Pessimo
0.000,0.008,0.000,0.000,0.187,0.287,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.724,0.000,5090,Muito Ruim
0.000,0.105,0.074,0.000,0.013,0.204,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.717,5090,Pessimo
0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.646,0.003,0.000,2860,Excelente
0.000,0.000,0.000,0.062,0.013,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.842,0.000,0.000,2860,Excelente
0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.853,0.000,0.000,2860,Excelente
0.000,0.000,0.000,0.158,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.866,0.001,0.000,2860,Excelente
0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.868,0.001,0.000,2860,Excelente
0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.868,0.001,0.000,2860,Excelente
0.002,0.011,0.000,0.005,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.716,0.079,0.000,2860,Satisfatorio
0.000,0.000,0.000,0.058,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.810,0.000,0.000,2860,Excelente
0.000,0.000,0.000,0.063,0.010,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.849,0.000,0.000,2860,Satisfatorio
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2860,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.530,0.002,0.000,2860,Excelente
0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.503,0.030,0.000,2860,Excelente
0.000,0.000,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.902,0.024,0.000,2860,Excelente
0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.919,0.000,0.000,2860,Excelente
0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.815,0.115,0.000,2860,Satisfatorio
0.013,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.703,0.064,0.000,4350,Satisfatorio
0.031,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.702,0.065,0.000,4350,Satisfatorio
0.016,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.000,4350,Excelente
0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.749,0.087,0.000,4350,Excelente
0.000,0.000,0.000,0.162,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.764,0.000,0.000,4350,Excelente
0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.758,0.000,0.000,4350,Excelente
0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.004,0.000,4350,Excelente
0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.734,0.032,0.000,4350,Excelente
0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.764,0.002,0.000,4350,Excelente
0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.004,0.000,4350,Excelente
0.000,0.000,0.000,0.014,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.000,4350,Excelente
0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,0.000,4350,Excelente
0.002,0.000,0.000,0.101,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.383,0.383,0.000,4350,Satisfatorio
0.000,0.000,0.000,0.100,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.765,0.001,0.000,4350,Excelente
0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.766,0.000,4350,Excelente
0.000,0.000,0.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.798,0.000,0.000,4350,Excelente
0.000,0.000,0.000,0.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.035,0.000,2290,Satisfatorio
0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996,0.000,0.000,2290,Excelente
0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.732,0.028,0.000,2290,Excelente
0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.618,0.011,0.000,2290,Excelente
0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.547,0.011,0.000,2290,Excelente
0.000,0.000,0.000,0.411,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.943,0.014,0.000,2290,Excelente
0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.003,0.000,2290,Excelente
0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.620,0.000,0.000,2290,Excelente
0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.620,0.000,0.000,2290,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.582,0.000,0.000,2290,Excelente
0.000,0.000,0.000,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.557,0.025,0.000,2290,Excelente
0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.763,0.014,0.000,2290,Excelente
0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.768,0.010,0.000,2290,Excelente
0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.762,0.000,0.000,2290,Excelente
0.001,0.000,0.143,0.000,0.000,0.027,0.004,0.011,0.067,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.084,0.000,0.262,0.261,2760,Pessimo
0.008,0.009,0.015,0.016,0.045,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.570,0.081,2760,Ruim
0.004,0.016,0.564,0.062,0.000,0.000,0.006,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.621,0.031,2760,Pessimo
0.007,0.031,0.189,0.000,0.121,0.015,0.002,0.124,0.004,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.024,2760,Pessimo
0.000,0.067,0.106,0.000,0.048,0.051,0.004,0.113,0.009,0.300,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.404,0.049,2760,Pessimo
0.009,0.000,0.316,0.005,0.107,0.000,0.003,0.076,0.003,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.024,2760,Pessimo
0.010,0.164,0.071,0.018,0.013,0.033,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.795,0.031,2760,Pessimo
0.000,0.037,0.225,0.000,0.000,0.000,0.000,0.010,0.000,0.500,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.443,0.257,0.126,2760,Pessimo
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.811,0.015,0.000,2760,Excelente
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.826,0.000,0.000,2760,Excelente
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.820,0.000,0.000,2760,Excelente
0.033,0.006,0.044,0.017,0.070,0.012,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.844,0.035,220,Muito Ruim
